id,username,day,time,course,venue,academicyear,division,is_rescheduled
56,anjalipurohit,Saturday,10:45 - 11:45,Intelligent Systems and EV Security,JN-105,SY,MTECHEMOBILI-SECA,f
57,anjalipurohit,Saturday,11:45 - 12:45,Intelligent Systems and EV Security,JN-105,SY,MTECHEMOBILI-SECA,f
58,shwetakukade,Saturday,13:30 - 14:30,Vehicular Network and Communication,JN-105,SY,MTECHEMOBILI-SECA,f
59,shwetakukade,Saturday,14:30 - 15:30,Vehicular Network and Communication,JN-105,SY,MTECHEMOBILI-SECA,f
60,amitnehete,Saturday,15:30 - 17:30,Project Stage-I,JN-105,SY,MTECHEMOBILI-SECA,f
61,bharatchaudhari,Monday,09:30 - 10:30,Research Methodology,VK-307,FY,MTECHEVLSI-SECA,f
62,savitrijadhav,Monday,10:45 - 11:45,Advanced Embedded Systems,VK-307,FY,MTECHEVLSI-SECA,f
63,vinayagohokar,Monday,11:45 - 12:45,Industrial IoT,JN-005,FY,MTECHEVLSI-SECA,f
64,vinayagohokar,Monday,13:30 - 14:30,Industrial IoT,JN-005,FY,MTECHEVLSI-SECA,f
65,sarikapatil,Tuesday,14:30 - 16:30,AI TechniqueApplications(LAB),JN-008,FY,MTECHEVLSI-SECA,f
66,kunalpingle,Tuesday,08:30 - 10:30,Yoga,JN-005,FY,MTECHEVLSI-SECA,f
67,kunalpingle,Tuesday,09:30 - 10:30,Yoga,JN-005,FY,MTECHEVLSI-SECA,f
68,savitrijadhav,Tuesday,10:45 - 11:45,Advanced Embedded Systems,VK-307,FY,MTECHEVLSI-SECA,f
69,sarikapatil,Tuesday,11:45 - 12:45,AI TechniqueApplications,VK-307,FY,MTECHEVLSI-SECA,f
70,bharatchaudhari,Tuesday,13:30 - 14:30,Research Methodology,VK-307,FY,MTECHEVLSI-SECA,f
71,sarikapatil,Wednesday,11:45 - 12:45,AI TechniqueApplications,VK-307,FY,MTECHEVLSI-SECA,f
72,bharatchaudhari,Wednesday,13:30 - 14:30,Research Methodology,VK-307,FY,MTECHEVLSI-SECA,f
73,vinayagohokar,Wednesday,14:30 - 16:30,Industrial IoT,VK-307,FY,MTECHEVLSI-SECA,f
74,savitrijadhav,Thursday,10:45 - 11:45,Advanced Embedded Systems,VK-307,FY,MTECHEVLSI-SECA,f
75,sarikapatil,Thursday,11:45 - 12:45,AI TechniqueApplications,VK-307,FY,MTECHEVLSI-SECA,f
76,vinayagohokar,Thursday,13:30 - 15:30,Industrial IoT(LAB),VK-307,FY,MTECHEVLSI-SECA,f
